Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Donte DiVincenzo (36791189),Donte DiVincenzo,36791189,PG/SG/G/UTIL,5200,HOU@MIN 11/26/2024 08:00PM ET,MIN,22.03
SF,Jaden McDaniels (36791204),Jaden McDaniels,36791204,SF/F/UTIL,5200,HOU@MIN 11/26/2024 08:00PM ET,MIN,22.67
C,Zach Collins (36791187),Zach Collins,36791187,C/UTIL,5200,SAS@UTA 11/26/2024 09:00PM ET,SAS,16.96
SG,Stephon Castle (36791196),Stephon Castle,36791196,SG/G/UTIL,5200,SAS@UTA 11/26/2024 09:00PM ET,SAS,21.72
SG/SF,Dalton Knecht (36791199),Dalton Knecht,36791199,SG/SF/F/G/UTIL,5100,LAL@PHX 11/26/2024 10:00PM ET,LAL,18.44
PG/SG,Carlton Carrington (36791212),Carlton Carrington,36791212,PG/SG/G/UTIL,5000,CHI@WAS 11/26/2024 07:00PM ET,WAS,24.6
PF/C,Alexandre Sarr (36791220),Alexandre Sarr,36791220,PF/C/F/UTIL,5000,CHI@WAS 11/26/2024 07:00PM ET,WAS,26.78
SF/PF,Jaime Jaquez Jr. (36791224),Jaime Jaquez Jr.,36791224,SF/PF/F/UTIL,5000,MIL@MIA 11/26/2024 07:30PM ET,MIA,21.48
SG/SF,Amen Thompson (36791207),Amen Thompson,36791207,SG/SF/F/G/UTIL,5000,HOU@MIN 11/26/2024 08:00PM ET,HOU,26.25
PF/C,Naz Reid (36791216),Naz Reid,36791216,PF/C/F/UTIL,5000,HOU@MIN 11/26/2024 08:00PM ET,MIN,25
SG/SF,Julian Champagnie (36791228),Julian Champagnie,36791228,SG/SF/F/G/UTIL,4900,SAS@UTA 11/26/2024 09:00PM ET,SAS,23.48
SF/PF,Rui Hachimura (36791233),Rui Hachimura,36791233,SF/PF/F/UTIL,4900,LAL@PHX 11/26/2024 10:00PM ET,LAL,25.16
C,Jonas Valanciunas (36791237),Jonas Valanciunas,36791237,C/UTIL,4800,CHI@WAS 11/26/2024 07:00PM ET,WAS,27.02
SF/PF,Royce O'Neale (36791239),Royce O'Neale,36791239,SF/PF/F/UTIL,4700,LAL@PHX 11/26/2024 10:00PM ET,PHX,24.45
PG,Mike Conley (36791243),Mike Conley,36791243,PG/G/UTIL,4600,HOU@MIN 11/26/2024 08:00PM ET,MIN,22.86
SF,Josh Okogie (36791246),Josh Okogie,36791246,SF/F/UTIL,4600,LAL@PHX 11/26/2024 10:00PM ET,PHX,19.22
C,Jaxson Hayes (36791249),Jaxson Hayes,36791249,C/UTIL,4600,LAL@PHX 11/26/2024 10:00PM ET,LAL,15.5
PF,Patrick Williams (36791251),Patrick Williams,36791251,PF/F/UTIL,4500,CHI@WAS 11/26/2024 07:00PM ET,CHI,22.82
PF/C,Jabari Smith Jr. (36791261),Jabari Smith Jr.,36791261,PF/C/F/UTIL,4500,HOU@MIN 11/26/2024 08:00PM ET,HOU,23.49
SF/PF,Harrison Barnes (36791254),Harrison Barnes,36791254,SF/PF/F/UTIL,4500,SAS@UTA 11/26/2024 09:00PM ET,SAS,21.35
PG,D'Angelo Russell (36791258),D'Angelo Russell,36791258,PG/G/UTIL,4500,LAL@PHX 11/26/2024 10:00PM ET,LAL,23.72
SG/SF,Corey Kispert (36791268),Corey Kispert,36791268,SG/SF/F/G/UTIL,4400,CHI@WAS 11/26/2024 07:00PM ET,WAS,19.68
SG,Duncan Robinson (36791265),Duncan Robinson,36791265,SG/G/UTIL,4400,MIL@MIA 11/26/2024 07:30PM ET,MIA,17.54
SF/PF,Haywood Highsmith (36791277),Haywood Highsmith,36791277,SF/PF/F/UTIL,4300,MIL@MIA 11/26/2024 07:30PM ET,MIA,16.60
PF/C,Kyle Filipowski (36791273),Kyle Filipowski,36791273,PF/C/F/UTIL,4300,SAS@UTA 11/26/2024 09:00PM ET,UTA,17.64
SF/PF,Kyshawn George (36791286),Kyshawn George,36791286,SF/PF/F/UTIL,4200,CHI@WAS 11/26/2024 07:00PM ET,WAS,21.7
SF/PF,Taurean Prince (36791293),Taurean Prince,36791293,SF/PF/F/UTIL,4200,MIL@MIA 11/26/2024 07:30PM ET,MIL,20.21
PG/SG,AJ Green (36791297),AJ Green,36791297,PG/SG/G/UTIL,4200,MIL@MIA 11/26/2024 07:30PM ET,MIL,14
SG/SF,Nickeil Alexander-Walker (36791281),Nickeil Alexander-Walker,36791281,SG/SF/F/G/UTIL,4200,HOU@MIN 11/26/2024 08:00PM ET,MIN,18.05
SF,Dillon Brooks (36791290),Dillon Brooks,36791290,SF/F/UTIL,4200,HOU@MIN 11/26/2024 08:00PM ET,HOU,21.29
SG/SF,Gary Trent Jr. (36791306),Gary Trent Jr.,36791306,SG/SF/F/G/UTIL,4100,MIL@MIA 11/26/2024 07:30PM ET,MIL,15.23
SG,Grayson Allen (36791301),Grayson Allen,36791301,SG/G/UTIL,4100,LAL@PHX 11/26/2024 10:00PM ET,PHX,17.19
C,Jarred Vanderbilt (36791304),Jarred Vanderbilt,36791304,C/UTIL,4100,LAL@PHX 11/26/2024 10:00PM ET,LAL,0
SF/PF,Matas Buzelis (36791317),Matas Buzelis,36791317,SF/PF/F/UTIL,4000,CHI@WAS 11/26/2024 07:00PM ET,CHI,8.82
C,Kevin Love (36791315),Kevin Love,36791315,C/UTIL,4000,MIL@MIA 11/26/2024 07:30PM ET,MIA,20.88
C,Charles Bassey (36791313),Charles Bassey,36791313,C/UTIL,4000,SAS@UTA 11/26/2024 09:00PM ET,SAS,11.78
C,Mason Plumlee (36791311),Mason Plumlee,36791311,C/UTIL,4000,LAL@PHX 11/26/2024 10:00PM ET,PHX,16.07
